front,back,hint,publishedAt
juveniles,"молодые, несовершеннолетние",distinctive words (juveniles),2025-10-01T22:33:25.699Z
bad habits,вредные привычки,,2026-02-11T02:50:32.542Z
Bound,связанный,,2026-01-22T08:44:35.137Z
even,чётные,чётные; Even numbers can be divided by 2 without a remainder. — Чётные числа делятся на 2 без остатка,2025-12-17T16:05:17.728Z
vocabulary,словарный запас,,2026-02-11T02:53:37.167Z
Convention - social agreement,Конвенция — общественный договор,"Конвенция. Нет причины, по которой «стол» называется столом, мы просто так договорились",2025-12-26T21:24:06.311Z
the number of,количество,количество чего-либо /ðə ˈnʌmbər əv/; The number of students is 25. — Количество студентов 25,2025-12-23T01:52:02.830Z
outgoing mail,исходящая почта,исходящая почта; outgoing mail = SMTP messages; Example: Configure outgoing mail — Настрой исходящую почту,2025-12-01T21:59:07.433Z
path,путь,Путь — последовательность связанных вершин; a path is a sequence of connected vertices; пример: “A→B→C is a path.”,2025-12-03T22:30:17.988Z
Spring,Весна,Spring,2026-03-31T22:34:32.485Z
She is innocent,Она невиновна,,2025-12-30T05:06:23.699Z
Paragraph,Абзац,,2026-02-27T09:54:54.910Z
forward,переслать,пересылать пакет; Example: The router forwards the packet,2026-03-15T18:49:00.085Z
give out,раздавать,They gave out the brochures. / The battery gave out,2025-12-25T19:32:13.941Z
honestly,честно,,2025-12-31T01:02:12.563Z
steering wheel,руль,рулевое колесо /ˈstɪərɪŋ wiːl/; Keep both hands on the steering wheel. — Держи обе руки на руле,2025-12-23T01:52:11.091Z
could,мог,"Мог, мог бы; past form of can; пример: “I could help you.”",2025-12-07T15:58:05.300Z
wrong,неправильно,,2025-12-25T22:50:18.129Z
thick smoke,густой дым,,2026-04-26T14:45:07.590Z
Iceland Icelandic,Исландия Исландский,,2025-12-14T22:01:00.495Z
a tendency,тенденция,There is a tendency for people to follow trends in fashion,2025-07-22T08:35:38.264Z
keep in mind,имей в виду,,2026-04-27T18:23:27.092Z
Thursday,четверг,,2025-07-28T17:01:19.637Z
probably,вероятно,,2025-12-01T23:42:20.046Z
Trust me,Доверяй мне,">> Trust me, I know how they think, these",2026-05-02T23:31:42.654Z
inborn desire,врождённое желание,"Существительное \desire\"" = внутреннее желание. I don't have an inborn desire to study foreign languages. — У меня нет врождённого желания учить иностранные языки.""",2026-02-27T06:16:30.840Z
delete,удалить,удалить,2025-07-02T14:26:03.505Z
In eighteen hundred,в 1800,,2026-03-31T19:09:14.631Z
Introduction,Введение,,2026-02-27T09:54:44.565Z
to be late,опаздывать,,2025-12-24T02:01:47.837Z
knowledge,знания,знания,2025-07-02T14:40:57.774Z
